source_file,instance,family,family_group,scale,method,solver,configuration,metric,value
result_only_coarsened_quantum.json,C101,C,C1,All,Inflated,FullQubo,Inflated FullQubo,capacity_violations,0.0
result_only_coarsened_quantum.json,C101,C,C1,All,Inflated,FullQubo,Inflated FullQubo,computation_time,3.6448032910120673
result_only_coarsened_quantum.json,C101,C,C1,All,Inflated,FullQubo,Inflated FullQubo,num_vehicles,3.0
result_only_coarsened_quantum.json,C101,C,C1,All,Inflated,FullQubo,Inflated FullQubo,time_window_violations,0.0
result_only_coarsened_quantum.json,C101,C,C1,All,Inflated,FullQubo,Inflated FullQubo,total_demand_served,260.0
result_only_coarsened_quantum.json,C101,C,C1,All,Inflated,FullQubo,Inflated FullQubo,total_distance,209.73947643418586
result_only_coarsened_quantum.json,C101,C,C1,All,Inflated,FullQubo,Inflated FullQubo,total_route_duration,2514.0543408709545
result_only_coarsened_quantum.json,C101,C,C1,All,Inflated,FullQubo,Inflated FullQubo,total_service_time,1350.0
result_only_coarsened_quantum.json,C101,C,C1,All,Inflated,FullQubo,Inflated FullQubo,total_waiting_time,954.3148644367685
result_only_coarsened_quantum.json,C101,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,capacity_violations,0.0
result_only_coarsened_quantum.json,C101,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,computation_time,3.618993124982808
result_only_coarsened_quantum.json,C101,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,num_vehicles,4.0
result_only_coarsened_quantum.json,C101,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,time_window_violations,0.0
result_only_coarsened_quantum.json,C101,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_demand_served,260.0
result_only_coarsened_quantum.json,C101,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_distance,211.69476385346007
result_only_coarsened_quantum.json,C101,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_route_duration,2953.003923448285
result_only_coarsened_quantum.json,C101,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_service_time,1350.0
result_only_coarsened_quantum.json,C101,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_waiting_time,1391.3091595948254
result_only_coarsened_quantum.json,C102,C,C1,All,Inflated,FullQubo,Inflated FullQubo,capacity_violations,0.0
result_only_coarsened_quantum.json,C102,C,C1,All,Inflated,FullQubo,Inflated FullQubo,computation_time,2.720754374982789
result_only_coarsened_quantum.json,C102,C,C1,All,Inflated,FullQubo,Inflated FullQubo,num_vehicles,4.0
result_only_coarsened_quantum.json,C102,C,C1,All,Inflated,FullQubo,Inflated FullQubo,time_window_violations,0.0
result_only_coarsened_quantum.json,C102,C,C1,All,Inflated,FullQubo,Inflated FullQubo,total_demand_served,260.0
result_only_coarsened_quantum.json,C102,C,C1,All,Inflated,FullQubo,Inflated FullQubo,total_distance,259.10349316311886
result_only_coarsened_quantum.json,C102,C,C1,All,Inflated,FullQubo,Inflated FullQubo,total_route_duration,2653.5642589130994
result_only_coarsened_quantum.json,C102,C,C1,All,Inflated,FullQubo,Inflated FullQubo,total_service_time,1350.0
result_only_coarsened_quantum.json,C102,C,C1,All,Inflated,FullQubo,Inflated FullQubo,total_waiting_time,1044.4607657499807
result_only_coarsened_quantum.json,C102,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,capacity_violations,0.0
result_only_coarsened_quantum.json,C102,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,computation_time,2.7265133329783566
result_only_coarsened_quantum.json,C102,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,num_vehicles,4.0
result_only_coarsened_quantum.json,C102,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,time_window_violations,0.0
result_only_coarsened_quantum.json,C102,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_demand_served,260.0
result_only_coarsened_quantum.json,C102,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_distance,249.92828234819183
result_only_coarsened_quantum.json,C102,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_route_duration,2842.347523732552
result_only_coarsened_quantum.json,C102,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_service_time,1350.0
result_only_coarsened_quantum.json,C102,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_waiting_time,1242.4192413843602
result_only_coarsened_quantum.json,C103,C,C1,All,Inflated,FullQubo,Inflated FullQubo,capacity_violations,0.0
result_only_coarsened_quantum.json,C103,C,C1,All,Inflated,FullQubo,Inflated FullQubo,computation_time,2.719036041991785
result_only_coarsened_quantum.json,C103,C,C1,All,Inflated,FullQubo,Inflated FullQubo,num_vehicles,4.0
result_only_coarsened_quantum.json,C103,C,C1,All,Inflated,FullQubo,Inflated FullQubo,time_window_violations,0.0
result_only_coarsened_quantum.json,C103,C,C1,All,Inflated,FullQubo,Inflated FullQubo,total_demand_served,260.0
result_only_coarsened_quantum.json,C103,C,C1,All,Inflated,FullQubo,Inflated FullQubo,total_distance,224.2073284182491
result_only_coarsened_quantum.json,C103,C,C1,All,Inflated,FullQubo,Inflated FullQubo,total_route_duration,2650.5998841293795
result_only_coarsened_quantum.json,C103,C,C1,All,Inflated,FullQubo,Inflated FullQubo,total_service_time,1350.0
result_only_coarsened_quantum.json,C103,C,C1,All,Inflated,FullQubo,Inflated FullQubo,total_waiting_time,1076.39255571113
result_only_coarsened_quantum.json,C103,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,capacity_violations,0.0
result_only_coarsened_quantum.json,C103,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,computation_time,2.7422063339618035
result_only_coarsened_quantum.json,C103,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,num_vehicles,4.0
result_only_coarsened_quantum.json,C103,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,time_window_violations,0.0
result_only_coarsened_quantum.json,C103,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_demand_served,260.0
result_only_coarsened_quantum.json,C103,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_distance,252.23703669053495
result_only_coarsened_quantum.json,C103,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_route_duration,2838.2025602923286
result_only_coarsened_quantum.json,C103,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_service_time,1350.0
result_only_coarsened_quantum.json,C103,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_waiting_time,1235.965523601794
result_only_coarsened_quantum.json,C104,C,C1,All,Inflated,FullQubo,Inflated FullQubo,capacity_violations,0.0
result_only_coarsened_quantum.json,C104,C,C1,All,Inflated,FullQubo,Inflated FullQubo,computation_time,3.707331749959849
result_only_coarsened_quantum.json,C104,C,C1,All,Inflated,FullQubo,Inflated FullQubo,num_vehicles,4.0
result_only_coarsened_quantum.json,C104,C,C1,All,Inflated,FullQubo,Inflated FullQubo,time_window_violations,0.0
result_only_coarsened_quantum.json,C104,C,C1,All,Inflated,FullQubo,Inflated FullQubo,total_demand_served,260.0
result_only_coarsened_quantum.json,C104,C,C1,All,Inflated,FullQubo,Inflated FullQubo,total_distance,297.2781694822386
result_only_coarsened_quantum.json,C104,C,C1,All,Inflated,FullQubo,Inflated FullQubo,total_route_duration,2632.883609215993
result_only_coarsened_quantum.json,C104,C,C1,All,Inflated,FullQubo,Inflated FullQubo,total_service_time,1350.0
result_only_coarsened_quantum.json,C104,C,C1,All,Inflated,FullQubo,Inflated FullQubo,total_waiting_time,985.6054397337548
result_only_coarsened_quantum.json,C104,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,capacity_violations,0.0
result_only_coarsened_quantum.json,C104,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,computation_time,3.727351500012446
result_only_coarsened_quantum.json,C104,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,num_vehicles,4.0
result_only_coarsened_quantum.json,C104,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,time_window_violations,0.0
result_only_coarsened_quantum.json,C104,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_demand_served,260.0
result_only_coarsened_quantum.json,C104,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_distance,287.5660784124417
result_only_coarsened_quantum.json,C104,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_route_duration,2824.610879337424
result_only_coarsened_quantum.json,C104,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_service_time,1350.0
result_only_coarsened_quantum.json,C104,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_waiting_time,1187.0448009249826
result_only_coarsened_quantum.json,C105,C,C1,All,Inflated,FullQubo,Inflated FullQubo,capacity_violations,0.0
result_only_coarsened_quantum.json,C105,C,C1,All,Inflated,FullQubo,Inflated FullQubo,computation_time,2.687270207970869
result_only_coarsened_quantum.json,C105,C,C1,All,Inflated,FullQubo,Inflated FullQubo,num_vehicles,4.0
result_only_coarsened_quantum.json,C105,C,C1,All,Inflated,FullQubo,Inflated FullQubo,time_window_violations,0.0
result_only_coarsened_quantum.json,C105,C,C1,All,Inflated,FullQubo,Inflated FullQubo,total_demand_served,260.0
result_only_coarsened_quantum.json,C105,C,C1,All,Inflated,FullQubo,Inflated FullQubo,total_distance,244.62279313178362
result_only_coarsened_quantum.json,C105,C,C1,All,Inflated,FullQubo,Inflated FullQubo,total_route_duration,2970.9431208493065
result_only_coarsened_quantum.json,C105,C,C1,All,Inflated,FullQubo,Inflated FullQubo,total_service_time,1350.0
result_only_coarsened_quantum.json,C105,C,C1,All,Inflated,FullQubo,Inflated FullQubo,total_waiting_time,1376.3203277175226
result_only_coarsened_quantum.json,C105,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,capacity_violations,0.0
result_only_coarsened_quantum.json,C105,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,computation_time,2.6919730830122717
result_only_coarsened_quantum.json,C105,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,num_vehicles,3.0
result_only_coarsened_quantum.json,C105,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,time_window_violations,0.0
